Species,Tissue Class,Tissue Type,Cancer,Cell Type,Cell Marker,Source,Supported Sources,Details
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Cobll1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Cobll1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,Col11a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,CCK basket cell,Col15a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Col19a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IB spiral ganglion neuron,Col19a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Col23a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,Col23a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,Col27a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Col28a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Col4a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Col4a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Col4a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,Col5a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Colec12,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Mural cell,Colec12,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Colgalt2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Commd2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Commd7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Commd9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Copb2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Coprs,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cops7b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Coro6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,Cort,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cotl1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cox10,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cox11,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Basket cell,Cox6a2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cox8b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Mural cell,Cp,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cpeb3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Cplx2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Cplx2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Cpne1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Chandelier cell,Cpne5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Cpne6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,Cpne8,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Cpne8,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cpne9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Interneuron-selective cell,Cpox,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Cpsf3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cpsf3l,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cpt1a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cpt1b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cptp,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Cpxm1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Crabp1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Crbn,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Creg2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Crim1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Mural cell,Crip1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Crip2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Crispld1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Crlf3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuroblast,Crmp1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Crot,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Crtac1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Crtac1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,CCK basket cell,Cryab,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cs,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cse1l,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Csf1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Csf1r,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Csf1r,Single-cell sequencing,2,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Csf1r,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Activated neural stem cell,Csf3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Csl,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Csmd1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Csmd2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Cspg4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Csrp1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cst6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cstf2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ctbp1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Ctc1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Cthrc1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Ctla2a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Ctnna1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Ctsb,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Ctsb,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Ctss,Single-cell sequencing,2,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Ctxn1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,Ctxn2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cul3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Cux2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Cwc22,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cx3cl1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IB spiral ganglion neuron,Cx3cl1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Cx3cr1,Single-cell sequencing,3,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Cxcl12,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,CCK basket cell,Cxcl14,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Cyb5a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cyfip2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Cygb,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Cyp1b1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Cyp2s1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Cyp39a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Cyp46a1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Cys1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Cyth3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Cyth4,Single-cell sequencing,2,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Cyyr1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,D030028A08Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,D17H6S53E,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,D430019H16Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Dab2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Dach1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Dach1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Daw1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuroblast,Dbn1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dbn1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dbndd1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,Dbpht2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dcaf10,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dcbld2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Dcbld2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Dcc,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuroblast,Dchs1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dchs1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Dclk1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Dclk1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dclk2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Dclre1c,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dcp2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dcun1d2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuroblast,Dcx,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ddah1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Ddhd1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ddit3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ddx1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ddx19b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ddx25,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ddx27,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ddx41,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Ddx60,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dedd,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Def6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Defb47,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Dennd2c,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Denr,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Dera,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dexi,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dffa,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Dgkh,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dhdds,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dhps,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dhrs1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dhrs11,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dhx16,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Diablo,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dip2a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Diras1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Diras2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dkc1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dlat,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Dlc1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dld,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Dlg5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Dlgap2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Interneuron-selective cell,Dlgap3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dlgap3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dlst,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuroblast,Dlx1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuroblast,Dlx2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Dorsal otocyst,Dlx5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuroblast,Dlx5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuroblast,Dlx6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Dmd,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Dnah10,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Dnah10,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Dnah11,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Dnah12,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Dnah3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Dnah5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Dnah6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dnajb14,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dnajc13,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dnajc27,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dnajc28,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Dnph1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Dock1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Dock2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Dock2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Dock4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Dock6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Dock8,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Dock8,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dock9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Dok5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Dok6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Interneuron-selective cell,Dok7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Dok7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Donson,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dopey2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,Dpy19l1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Dpy19l1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Dpysl3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Drd1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Dscam,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dscam,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Dscaml1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dtd2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dtnbp1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Dubr,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Dupd1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Dusp11,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Chandelier cell,Dusp14,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dusp15,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dusp19,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dusp27,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dusp28,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Dusp6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Dync1i1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dync2h1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,Dynll2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Dzip1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,E130309D02Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,E230008N13Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,E230016M11Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,E2f6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Ebag9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Ebf3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Ebf4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Mural cell,Ecm2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Edaradd,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IB spiral ganglion neuron,Edil3,Single-cell sequencing,2,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Ednra,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Ednrb,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Bergmann glial cell,Ednrb,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Eef2kmt,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Efemp1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Efemp2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Efhb,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Efna5,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Efnb1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte,Efnb3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Efr3b,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Efs,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Egfl7,Single-cell sequencing,2,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,Egfl7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Egfl7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Egflam,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Egflam,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Interneuron-selective cell,Egfr,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Egln2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,CCK basket cell,Egln3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Ehbp1l1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Ehd4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Eif1ad,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Eif2ak4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Eif2b4,Single-cell sequencing,1,DETAIL
